user_id,article_id,Rating,category_id
1492,68866,0.2793,136
3919,235840,0.5872,375
1492,96663,0.9519,209
11127,96663,0.9519,209
14862,96663,0.9519,209
3919,119592,1.4071,247
11127,119592,1.4071,247
12164,119592,1.4071,247
14862,119592,1.4071,247
11399,207122,5.0332,331
12103,207122,1.097,331
1492,284847,1.0035,412
11127,338351,0.5818,437
7679,313504,0.2754,431
1492,97600,0.9068,213
1492,284845,0.9912,412
7679,160474,1.3581,281
13894,160474,0.6351,281
7679,272660,2.3567,399
1492,272660,5.0442,399
29452,272660,5.0796,399
32546,272660,5.0442,399
50080,272660,2.3567,399
12103,272660,2.3567,399
16759,59758,1.3571,123
22770,59758,1.3571,123
12103,59758,1.3571,123
89410,59758,1.3571,123
1492,175040,1.2847,299
110512,175040,1.2847,299
22770,175040,2.7664,299
32546,175040,1.2847,299
81551,199198,7.1161,323
89410,199198,3.2669,323
22770,199198,3.2669,323
12103,199198,7.0926,323
57145,199198,3.2669,323
50080,199198,3.2669,323
97922,199198,3.2669,323
12103,199198,7.0926,323
32546,156025,8.0622,281
57145,156025,2.0822,281
11399,336430,1.2796,437
81551,182394,0.2948,301
18025,284463,1.9436,412
11399,284463,2.8259,412
12103,261680,0.2795,396
57145,237202,0.5752,375
74382,16129,0.5901,7
22770,16129,0.5901,7
16759,284312,0.5777,412
29452,161178,7.7148,281
32546,161178,13.681,281
57145,161178,3.5334,281
29452,166581,2.2289,289
50080,166581,2.2289,289
18025,166581,2.2289,289
12103,166581,2.2289,289
110512,166581,2.2289,289
116346,166581,2.2289,289
22770,61169,3.4999,125
22770,61169,3.4999,125
11399,235132,4.1066,375
81551,162655,3.9514,281
32546,162655,52.4325,281
83272,162655,8.5826,281
60175,162655,8.7443,281
22770,162655,47.6159,281
93320,162655,3.9514,281
96533,162655,28.862,281
100442,162655,3.9514,281
118441,162655,13.2923,281
1492,284844,2.1337,412
81551,284844,0.6013,412
1492,58628,0.2748,118
22770,272143,6.7022,399
1492,272143,6.7211,399
116346,272143,3.0611,399
32546,272143,6.7211,399
120586,272143,3.0611,399
60175,272143,3.0611,399
138668,272143,3.0611,399
142325,272143,3.0611,399
11399,220466,0.2696,353
11399,160974,33.1703,281
60163,160974,4.0383,281
61736,160974,14.0807,281
65335,160974,13.9789,281
68460,160974,33.1386,281
12103,160974,14.0423,281
74382,160974,4.0383,281
32546,160974,53.2847,281
29452,160974,30.0475,281
7679,59704,2.016,118
12103,59704,1.2602,118
11399,158866,2.3049,281
22770,292959,0.613,421
12164,60258,0.2554,125
13894,354701,0.2677,443
40969,236613,0.5783,375
50080,158536,2.4318,281
22770,158536,24.14,281
96533,158536,14.6323,281
29452,158536,14.9897,281
121747,50864,0.9408,99
22770,60012,1.5328,125
100442,64329,2.1894,134
18025,64329,2.1894,134
107871,64329,2.1894,134
1492,64329,2.1894,134
12103,64329,2.1894,134
32546,64329,2.1894,134
150994,285435,1.3113,412
83272,285435,1.3037,412
22770,168623,1.2467,297
177156,168623,1.2467,297
180760,168623,1.2467,297
163196,168623,1.2467,297
22770,286321,1.69,412
11634,71292,0.2786,136
18025,83622,0.2725,174
1492,97488,0.8944,213
118441,156447,3.4791,281
122119,156447,5.2533,281
127562,156447,3.5735,281
11399,166580,0.5947,289
22770,166580,0.5947,289
60163,166283,0.5802,289
61736,166283,0.5802,289
